case,phi,r,x,y
A,0.0,0.6909830056250527,0.6909830056250527,0.0
A,0.003143164235707647,0.6909840603863567,0.6909806471070763,0.002171872809883485
A,0.006286328471415294,0.6909872246791696,0.6909735715332465,0.004343744054460567
A,0.009429492707122941,0.6909924985301913,0.6909617788438585,0.006515612168261504
A,0.012572656942830588,0.690999881983923,0.6909452689394053,0.008687475585489872
A,0.015715821178538234,0.6910093751026667,0.6909240416805764,0.010859332739859215
A,0.018858985414245882,0.6910209779665243,0.690898096888257,0.013031182064429646
A,0.022002149649953527,0.6910346906733998,0.690867434343528,0.015203021991444483
A,0.025145313885661175,0.6910505133389981,0.6908320537876648,0.017374850952166773
A,0.028288478121368824,0.6910684460968267,0.6907919549221363,0.01954666737671586
A,0.03143164235707647,0.6910884890981948,0.6907471374086038,0.021718469693903827
A,0.03457480659278411,0.6911106425122152,0.6906976008689205,0.023890256331071984
A,0.037717970828491765,0.6911349065258042,0.6906433448851286,0.026062025713927184
A,0.04086113506419941,0.6911612813436823,0.6905843689994589,0.028233776266378154
A,0.044004299299907054,0.6911897671883753,0.6905206727143289,0.03040550641037177
A,0.047147463535614706,0.6912203643002149,0.6904522554923406,0.03257721456572918
A,0.05029062777132235,0.6912530729373395,0.6903791167562785,0.03474889914998189
A,0.053433792007029995,0.6912878933756954,0.6903012558891082,0.03692055857820776
A,0.05657695624273765,0.6913248259090379,0.6902186722339733,0.039092191262866935
A,0.05972012047844529,0.6913638708489318,0.6901313650941931,0.04126379561363758
A,0.06286328471415294,0.6914050285247533,0.6900393337332603,0.04343537003725158
A,0.06600644894986059,0.6914482992836907,0.6899425773748386,0.045606912937330185
A,0.06914961318556823,0.6914936834907457,0.6898410952027582,0.04777842271421929
A,0.07229277742127588,0.6915411815287354,0.6897348863610155,0.04994989776482498
A,0.07543594165698353,0.6915907937982928,0.6896239499537673,0.05212133648244853
A,0.07857910589269117,0.6916425207178686,0.689508285045329,0.054292737256621496
A,0.08172227012839882,0.691696362723733,0.6893878906601711,0.056464098472940705
A,0.08486543436410647,0.6917523202699772,0.6892627657829152,0.058635418512902895
A,0.08800859859981411,0.6918103938285146,0.6891329093583303,0.06080669575373929
A,0.09115176283552176,0.6918705838890832,0.6889983202913293,0.06297792856825017
A,0.09429492707122941,0.6919328909592466,0.6888589974469648,0.06514911532463889
A,0.09743809130693705,0.6919973155643968,0.6887149396504253,0.06732025438634617
A,0.1005812555426447,0.6920638582477553,0.6885661456870305,0.06949134411188382
A,0.10372441977835235,0.6921325195703752,0.688412614302227,0.07166238285466847
A,0.10686758401405999,0.6922033001111438,0.6882543442015845,0.07383336896285511
A,0.11001074824976764,0.6922762004667836,0.6880913340507899,0.07600430077917028
A,0.1131539124854753,0.6923512212518554,0.6879235824756439,0.07817517664074528
A,0.11629707672118293,0.6924283630987602,0.687751088062055,0.08034599487894883
A,0.11944024095689058,0.6925076266577411,0.687573849356035,0.08251675381921994
A,0.12258340519259824,0.6925890125968861,0.6873918648636943,0.08468745178090009
A,0.12572656942830587,0.69267252160213,0.6872051330512354,0.08685808707706548
A,0.12886973366401352,0.6927581543772574,0.6870136523449489,0.08902865801435905
A,0.13201289789972118,0.6928459116439043,0.6868174211312067,0.0911991628928219
A,0.13515606213542883,0.6929357941415615,0.6866164377564575,0.093369600005725
A,0.13829922637113645,0.6930278026275768,0.6864107005272208,0.09553996763940008
A,0.1414423906068441,0.6931219378771573,0.6862002077100798,0.09771026407307068
A,0.14458555484255176,0.6932182006833727,0.6859849575316775,0.09988048757868265
A,0.1477287190782594,0.6933165918571573,0.6857649481787087,0.10205063642073448
A,0.15087188331396706,0.6934171122273137,0.6855401777979154,0.10422070885610736
A,0.1540150475496747,0.693519762640515,0.6853106444960794,0.10639070313389498
A,0.15715821178538233,0.6936245439613071,0.6850763463400157,0.1085606174952327
A,0.16030137602109,0.6937314570721133,0.6848372813565672,0.11073045017312708
A,0.16344454025679764,0.6938405028732354,0.684593447532597,0.11290019939228425
A,0.1665877044925053,0.6939516822828583,0.6843448428149823,0.11506986336893874
A,0.16973086872821294,0.6940649962370515,0.6840914651106068,0.11723944031068134
A,0.1728740329639206,0.6941804456897738,0.6838333122863546,0.11940892841628714
A,0.17601719719962822,0.6942980316128752,0.6835703821691028,0.12157832587554297
A,0.17916036143533587,0.6944177549961007,0.6833026725457144,0.12374763086907443
A,0.18230352567104352,0.6945396168470933,0.6830301811630309,0.12591684156817268
A,0.18544668990675117,0.6946636181913975,0.6827529057278656,0.12808595613462098
A,0.18858985414245882,0.6947897600724622,0.6824708439069951,0.13025497272052047
A,0.19173301837816648,0.6949180435516445,0.6821839933271533,0.13242388946811617
A,0.1948761826138741,0.6950484697082129,0.6818923515750225,0.134592704509622
A,0.19801934684958175,0.6951810396393503,0.6815959161972265,0.13676141596704572
A,0.2011625110852894,0.6953157544601585,0.681294684700323,0.13893002195201357
A,0.20430567532099705,0.6954526153036603,0.6809886545507947,0.1410985205655942
A,0.2074488395567047,0.6955916233208045,0.6806778231750431,0.14326690989812246
A,0.21059200379241233,0.6957327796804679,0.680362187959379,0.14543518802902256
A,0.21373516802811998,0.6958760855694605,0.6800417462500157,0.14760335302663116
A,0.21687833226382763,0.6960215421925277,0.6797164953530601,0.1497714029480195
A,0.22002149649953529,0.6961691507723546,0.6793864325345047,0.15193933583881553
A,0.22316466073524294,0.69631891254957,0.6790515550202199,0.15410714973302544
A,0.2263078249709506,0.6964708287827495,0.6787118599959451,0.15627484265285488
A,0.2294509892066582,0.6966249007484191,0.6783673446072808,0.1584424126085293
A,0.23259415344236586,0.6967811297410597,0.6780180059596801,0.16060985759811447
A,0.23573731767807352,0.6969395170731102,0.6776638411184401,0.16277717560733593
A,0.23888048191378117,0.6971000640749716,0.677304847108694,0.16494436460939835
A,0.24202364614948882,0.6972627720950109,0.6769410209154019,0.1671114225648043
A,0.24516681038519647,0.6974276424995645,0.6765723594833424,0.16927834742117243
A,0.2483099746209041,0.6975946766729421,0.6761988597171045,0.17144513711305515
A,0.25145313885661175,0.6977638760174313,0.6758205184810784,0.1736117895617563
A,0.2545963030923194,0.6979352419533004,0.6754373325994472,0.1757783026751473
A,0.25773946732802705,0.698108775918803,0.675049298856178,0.17794467434748387
A,0.2608826315637347,0.698284479370182,0.6746564139950134,0.18011090245922162
A,0.26402579579944235,0.6984623537816725,0.6742586747194624,0.182276984876831
A,0.26716896003515,0.6986424006455073,0.6738560776927924,0.1844429194526123
A,0.27031212427085766,0.6988246214719191,0.6734486195380195,0.1866087040245095
A,0.2734552885065653,0.6990090177891458,0.6730362968379001,0.1887743364159238
A,0.2765984527422729,0.6991955911434335,0.6726191061349225,0.19093981443552688
A,0.27974161697798056,0.6993843430990413,0.6721970439312975,0.19310513587707312
A,0.2828847812136882,0.6995752752382444,0.6717701066889501,0.1952702985192114
A,0.28602794544939586,0.6997683891613383,0.6713382908295105,0.19743530012529645
A,0.2891711096851035,0.6999636864866431,0.6709015927343049,0.19960013844319957
A,0.29231427392081116,0.7001611688505069,0.6704600087443477,0.2017648112051188
A,0.2954574381565188,0.7003608379073104,0.6700135351603321,0.20392931612738824
A,0.29860060239222647,0.7005626953294696,0.669562168242621,0.20609365091028697
