i,j,x,p,F
0,0,-10.0,-10.0,50.0
0,1,-10.0,-9.899497487437186,48.99497487437186
0,2,-10.0,-9.798994974874372,47.989949748743726
0,3,-10.0,-9.698492462311558,46.984924623115575
0,4,-10.0,-9.597989949748744,45.97989949748744
0,5,-10.0,-9.49748743718593,44.9748743718593
0,6,-10.0,-9.396984924623116,43.96984924623115
0,7,-10.0,-9.296482412060302,42.96482412060301
0,8,-10.0,-9.195979899497488,41.959798994974875
0,9,-10.0,-9.095477386934673,40.95477386934674
0,10,-10.0,-8.99497487437186,39.9497487437186
0,11,-10.0,-8.894472361809045,38.94472361809045
0,12,-10.0,-8.793969849246231,37.93969849246231
0,13,-10.0,-8.693467336683417,36.934673366834176
0,14,-10.0,-8.592964824120603,35.929648241206024
0,15,-10.0,-8.492462311557789,34.92462311557789
0,16,-10.0,-8.391959798994975,33.91959798994975
0,17,-10.0,-8.291457286432161,32.91457286432161
0,18,-10.0,-8.190954773869347,31.909547738693476
0,19,-10.0,-8.090452261306533,30.904522613065325
0,20,-10.0,-7.989949748743719,29.899497487437188
0,21,-10.0,-7.889447236180905,28.89447236180905
0,22,-10.0,-7.788944723618091,27.8894472361809
0,23,-10.0,-7.688442211055277,26.884422110552762
0,24,-10.0,-7.5879396984924625,25.879396984924625
0,25,-10.0,-7.4874371859296485,24.874371859296488
0,26,-10.0,-7.386934673366834,23.86934673366835
0,27,-10.0,-7.28643216080402,22.8643216080402
0,28,-10.0,-7.185929648241206,21.859296482412063
0,29,-10.0,-7.085427135678392,20.854271356783926
0,30,-10.0,-6.984924623115578,19.849246231155774
0,31,-10.0,-6.884422110552764,18.844221105527637
0,32,-10.0,-6.78391959798995,17.8391959798995
0,33,-10.0,-6.683417085427136,16.834170854271363
0,34,-10.0,-6.582914572864322,15.829145728643226
0,35,-10.0,-6.482412060301508,14.824120603015075
0,36,-10.0,-6.381909547738694,13.819095477386938
0,37,-10.0,-6.28140703517588,12.8140703517588
0,38,-10.0,-6.180904522613066,11.809045226130657
0,39,-10.0,-6.080402010050252,10.804020100502512
0,40,-10.0,-5.979899497487437,9.798994974874368
0,41,-10.0,-5.879396984924623,8.793969849246224
0,42,-10.0,-5.7788944723618085,7.788944723618087
0,43,-10.0,-5.6783919597989945,6.783919597989943
0,44,-10.0,-5.57788944723618,5.778894472361806
0,45,-10.0,-5.477386934673366,4.773869346733662
0,46,-10.0,-5.376884422110552,3.7688442211055246
0,47,-10.0,-5.276381909547738,2.7638190954773805
0,48,-10.0,-5.175879396984924,1.7587939698492434
0,49,-10.0,-5.07537688442211,0.7537688442210992
0,50,-10.0,-4.974874371859296,-0.2512562814070378
0,51,-10.0,-4.874371859296482,-1.256281407035182
0,52,-10.0,-4.773869346733668,-2.261306532663319
0,53,-10.0,-4.673366834170854,-3.266331658291463
0,54,-10.0,-4.57286432160804,-4.2713567839196
0,55,-10.0,-4.472361809045226,-5.276381909547744
0,56,-10.0,-4.371859296482412,-6.2814070351758815
0,57,-10.0,-4.271356783919598,-7.286432160804026
0,58,-10.0,-4.1708542713567835,-8.291457286432163
0,59,-10.0,-4.0703517587939695,-9.296482412060307
0,60,-10.0,-3.9698492462311554,-10.301507537688444
0,61,-10.0,-3.8693467336683414,-11.306532663316588
0,62,-10.0,-3.7688442211055273,-12.311557788944725
0,63,-10.0,-3.6683417085427132,-13.31658291457287
0,64,-10.0,-3.567839195979899,-14.321608040201006
0,65,-10.0,-3.467336683417085,-15.32663316582915
0,66,-10.0,-3.366834170854271,-16.331658291457288
0,67,-10.0,-3.266331658291457,-17.336683417085432
0,68,-10.0,-3.165829145728643,-18.34170854271357
0,69,-10.0,-3.065326633165829,-19.346733668341713
0,70,-10.0,-2.964824120603015,-20.35175879396985
